Id,LotFrontage,LotArea,BldgType,OverallQual,YearBuilt,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,Fireplaces,FireplaceQu,GarageCars,YrSold,SaleCondition,SalePrice
1,65,8450,1Fam,7,2003,196,856,856,1710,2,0,NA,2,2008,Normal,208500
2,80,9600,1Fam,6,1976,0,1262,1262,1262,2,1,TA,2,2007,Normal,181500
3,68,11250,1Fam,7,2001,162,920,920,1786,2,1,TA,2,2008,Normal,223500
4,60,9550,1Fam,7,1915,0,756,961,1717,1,1,Gd,3,2006,Abnorml,140000
5,84,14260,1Fam,8,2000,350,1145,1145,2198,2,1,TA,3,2008,Normal,250000
6,85,14115,1Fam,5,1993,0,796,796,1362,1,0,NA,2,2009,Normal,143000
7,75,10084,1Fam,8,2004,186,1686,1694,1694,2,1,Gd,2,2007,Normal,307000
8,NA,10382,1Fam,7,1973,240,1107,1107,2090,2,2,TA,2,2009,Normal,200000
9,51,6120,1Fam,7,1931,0,952,1022,1774,2,2,TA,2,2008,Abnorml,129900
10,50,7420,2fmCon,5,1939,0,991,1077,1077,1,2,TA,1,2008,Normal,118000
11,70,11200,1Fam,5,1965,0,1040,1040,1040,1,0,NA,1,2008,Normal,129500
12,85,11924,1Fam,9,2005,286,1175,1182,2324,3,2,Gd,3,2006,Partial,345000
13,NA,12968,1Fam,5,1962,0,912,912,912,1,0,NA,1,2008,Normal,144000
14,91,10652,1Fam,7,2006,306,1494,1494,1494,2,1,Gd,3,2007,Partial,279500
15,NA,10920,1Fam,6,1960,212,1253,1253,1253,1,1,Fa,1,2008,Normal,157000
16,51,6120,1Fam,7,1929,0,832,854,854,1,0,NA,2,2007,Normal,132000
17,NA,11241,1Fam,6,1970,180,1004,1004,1004,1,1,TA,2,2010,Normal,149000
18,72,10791,Duplex,4,1967,0,0,1296,1296,2,0,NA,2,2006,Normal,90000
19,66,13695,1Fam,5,2004,0,1114,1114,1114,1,0,NA,2,2008,Normal,159000
20,70,7560,1Fam,5,1958,0,1029,1339,1339,1,0,NA,1,2009,Abnorml,139000
21,101,14215,1Fam,8,2005,380,1158,1158,2376,3,1,Gd,3,2006,Partial,325300
22,57,7449,1Fam,7,1930,0,637,1108,1108,1,1,Gd,1,2007,Normal,139400
23,75,9742,1Fam,8,2002,281,1777,1795,1795,2,1,Gd,2,2008,Normal,230000
24,44,4224,TwnhsE,5,1976,0,1040,1060,1060,1,1,TA,2,2007,Normal,129900
25,NA,8246,1Fam,5,1968,0,1060,1060,1060,1,1,TA,1,2010,Normal,154000
26,110,14230,1Fam,8,2007,640,1566,1600,1600,2,1,Gd,3,2009,Normal,256300
27,60,7200,1Fam,5,1951,0,900,900,900,1,0,NA,2,2010,Normal,134800
28,98,11478,1Fam,8,2007,200,1704,1704,1704,2,1,Gd,3,2010,Normal,306000
29,47,16321,1Fam,5,1957,0,1484,1600,1600,1,2,Gd,1,2006,Normal,207500
30,60,6324,1Fam,4,1927,0,520,520,520,1,0,NA,1,2008,Normal,68500
31,50,8500,1Fam,4,1920,0,649,649,1317,1,0,NA,1,2008,Normal,40000
32,NA,8544,1Fam,5,1966,0,1228,1228,1228,1,0,NA,1,2008,Normal,149350
33,85,11049,1Fam,8,2007,0,1234,1234,1234,2,0,NA,2,2008,Normal,179900
34,70,10552,1Fam,5,1959,0,1398,1700,1700,1,1,Gd,2,2010,Normal,165500
35,60,7313,TwnhsE,9,2005,246,1561,1561,1561,2,1,Gd,2,2007,Normal,277500
36,108,13418,1Fam,8,2004,132,1117,1132,2452,3,1,Gd,3,2006,Normal,309000
37,112,10859,1Fam,5,1994,0,1097,1097,1097,1,0,NA,2,2009,Normal,145000
38,74,8532,1Fam,5,1954,650,1297,1297,1297,1,1,TA,2,2009,Normal,153000
39,68,7922,1Fam,5,1953,0,1057,1057,1057,1,0,NA,1,2010,Abnorml,109000
40,65,6040,Duplex,4,1955,0,0,1152,1152,2,0,NA,0,2008,AdjLand,82000
41,84,8658,1Fam,6,1965,101,1088,1324,1324,2,1,TA,2,2006,Abnorml,160000
42,115,16905,1Fam,5,1959,0,1350,1328,1328,1,2,Gd,1,2007,Normal,170000
43,NA,9180,1Fam,5,1983,0,840,884,884,1,0,NA,2,2007,Normal,144000
44,NA,9200,1Fam,5,1975,0,938,938,938,1,0,NA,1,2008,Normal,130250
45,70,7945,1Fam,5,1959,0,1150,1150,1150,1,0,NA,1,2006,Normal,141000
46,61,7658,TwnhsE,9,2005,412,1752,1752,1752,2,1,Gd,2,2010,Normal,319900
47,48,12822,1Fam,7,2003,0,1434,1518,2149,1,1,Ex,2,2009,Abnorml,239686
48,84,11096,1Fam,8,2006,0,1656,1656,1656,2,0,NA,3,2007,Normal,249700
49,33,4456,2fmCon,4,1920,0,736,736,1452,2,0,NA,0,2009,Partial,113000
50,66,7742,1Fam,5,1966,0,955,955,955,1,0,NA,1,2007,Normal,127000
51,NA,13869,1Fam,6,1997,0,794,794,1470,2,0,NA,2,2007,Normal,177000
52,52,6240,1Fam,6,1934,0,816,816,1176,1,1,Gd,2,2006,Normal,114500
53,110,8472,Duplex,5,1963,0,816,816,816,1,0,NA,2,2010,Normal,110000
54,68,50271,1Fam,9,1981,0,1842,1842,1842,0,1,Gd,3,2006,Normal,385000
55,60,7134,1Fam,5,1955,0,384,1360,1360,1,1,TA,2,2007,Normal,130000
56,100,10175,1Fam,6,1964,272,1425,1425,1425,2,1,Gd,2,2008,Normal,180500
57,24,2645,Twnhs,8,1999,456,970,983,1739,2,0,NA,2,2009,Abnorml,172500
58,89,11645,1Fam,7,2004,0,860,860,1720,2,0,NA,2,2006,Normal,196500
59,66,13682,1Fam,10,2006,1031,1410,1426,2945,3,1,Gd,3,2006,Partial,438780
60,60,7200,1Fam,5,1972,0,780,780,780,1,0,NA,1,2008,Normal,124900
61,63,13072,1Fam,6,2004,0,1158,1158,1158,1,0,NA,2,2006,Partial,158000
62,60,7200,1Fam,5,1920,0,530,581,1111,1,0,NA,1,2007,Normal,101000
63,44,6442,TwnhsE,8,2006,178,1370,1370,1370,2,1,Gd,2,2007,Normal,202500
64,50,10300,1Fam,7,1921,0,576,902,1710,2,0,NA,2,2010,Normal,140000
65,NA,9375,1Fam,7,1997,573,1057,1057,2034,2,0,NA,2,2009,Normal,219500
66,76,9591,1Fam,8,2004,344,1143,1143,2473,2,1,Gd,3,2007,Normal,317000
67,NA,19900,1Fam,7,1970,287,1947,2207,2207,2,1,Gd,2,2010,Normal,180000
68,72,10665,1Fam,7,2003,167,1453,1479,1479,2,0,NA,2,2007,Normal,226000
69,47,4608,1Fam,4,1945,0,747,747,747,1,0,NA,1,2010,Normal,80000
70,81,15593,1Fam,7,1953,0,1304,1304,2287,2,1,TA,2,2006,Normal,225000
71,95,13651,1Fam,7,1973,1115,2223,2223,2223,2,2,Gd,2,2007,Normal,244000
72,69,7599,1Fam,4,1982,0,845,845,845,1,0,NA,2,2007,Normal,129500
73,74,10141,1Fam,7,1998,40,832,885,1718,2,1,TA,2,2009,Normal,185000
74,85,10200,1Fam,5,1954,104,1086,1086,1086,1,0,NA,2,2010,Normal,144900
75,60,5790,1Fam,3,1915,0,840,840,1605,2,0,NA,1,2010,Normal,107400
76,21,1596,Twnhs,4,1973,0,462,526,988,1,0,NA,1,2009,Normal,91000
77,NA,8475,1Fam,4,1956,0,952,952,952,1,0,NA,1,2008,Normal,135750
78,50,8635,1Fam,5,1948,0,672,1072,1285,1,0,NA,1,2008,Normal,127000
79,72,10778,Duplex,4,1968,0,1768,1768,1768,2,0,NA,0,2010,Normal,136500
